5.446711243053354856e-01 2.551652597920050880e+02 9.139956153375466386e+01
6.424726463861283321e-01 2.365717736337188910e+02 6.840476234478092010e+01
7.572262777964531288e-01 2.122782548647564340e+02 4.666500832890815076e+01
8.928398838837975360e-01 1.829329680082422556e+02 3.183843609697177612e+01
1.052847494148839047e+00 1.540764167811665857e+02 2.184930953625676153e+01
1.241766098970124022e+00 1.259416980231659267e+02 1.459331664639603154e+01
1.464984926313054103e+00 1.042039731441652890e+02 9.713238202049211623e+00
1.729410374457496680e+00 9.117574794632368196e+01 6.717390575980441980e+00
2.041569700635513129e+00 8.061751048098737726e+01 5.097900748254733827e+00
2.410117732431506177e+00 7.127634514412775957e+01 3.960559514373827472e+00
2.844012610035975719e+00 6.342071102541821404e+01 3.027929968888036338e+00
3.355187987364353308e+00 5.658260571850690468e+01 2.774137162226284925e+00
3.957983533948807420e+00 5.001379393731291145e+01 2.441992334276912313e+00
4.668553262120996195e+00 4.417588639809718387e+01 1.997059020958413811e+00
5.506918964005561357e+00 3.861957929132124434e+01 1.702210788924640728e+00
6.495012502535957744e+00 3.344625537250070124e+01 1.568985451045713519e+00
7.661017657680022630e+00 2.869398735597664896e+01 1.378163167081183804e+00
9.036152320345047784e+00 2.444682308112576052e+01 1.147652511249651619e+00
1.065884441671401106e+01 2.053089378982199875e+01 9.452463101776338306e-01
1.257148818643181265e+01 1.718950260406348107e+01 7.153370987872502695e-01
1.482887336695412017e+01 1.403523752632566612e+01 6.258021125359630732e-01
1.749162522417838161e+01 1.117370908037158195e+01 5.308298058871121494e-01
2.063111085677375911e+01 8.896378375533618765e+00 4.106045897466549244e-01
2.433480138340924981e+01 6.846873834915791157e+00 3.095088697762201635e-01
2.870358998054435773e+01 5.098071978248005287e+00 2.630624310165728397e-01
3.385576671390355585e+01 3.584561385612176743e+00 1.772023303351033252e-01
3.993394804132122999e+01 2.470385068608300205e+00 1.226858382353437915e-01
4.710288444924054119e+01 1.554618128555028456e+00 8.250279209022200189e-02
5.555687486327342839e+01 9.461590976260413344e-01 5.042208160875071704e-02
