5.453678823585500490e-01 5.329592189606605643e+02 6.649358273919535378e+00
6.433735846182870866e-01 4.540506412364187554e+02 3.785056883654797755e+00
7.586604590346912591e-01 3.742445628195620770e+02 3.028613012254584014e+00
8.948167474700758905e-01 2.977484290744249051e+02 2.764090269771066311e+00
1.055538481832065223e+00 2.341847037733222407e+02 1.598779154496635657e+00
1.245195809739312764e+00 1.793708723450137654e+02 2.027271341286325690e+00
1.469580824094204763e+00 1.399808909492287512e+02 1.391513807328162766e+00
1.733291782084159793e+00 1.153175910282462411e+02 1.132087946684275703e+00
2.044887823817398864e+00 9.830901626979012065e+01 8.985956783012121196e-01
2.411933768477886542e+00 8.519903815217654142e+01 9.521430821808967160e-01
2.845265080713470507e+00 7.561235825930037890e+01 6.866034855770505319e-01
3.356460624356586653e+00 6.704386368930164508e+01 6.678484584971340343e-01
3.958823978846058189e+00 5.908745583169135784e+01 8.055318454274495998e-01
4.669159040619730305e+00 5.217302867537703293e+01 5.032721384065511616e-01
5.507163319600646645e+00 4.564150469993638382e+01 4.253647096393970983e-01
6.496435693163492786e+00 3.939422382026701541e+01 3.944231816301185800e-01
7.661570639597665711e+00 3.383090455318323819e+01 3.737340334110639262e-01
9.037637465732037967e+00 2.889418507274915626e+01 2.671402538046476760e-01
1.065960697812718472e+01 2.428425810367810911e+01 2.103347254525006760e-01
1.257305783455723969e+01 2.033291804713448769e+01 1.532170534454829203e-01
1.482991085104483098e+01 1.661488397211529033e+01 2.012153660889547391e-01
1.749242444834910515e+01 1.327440046857690881e+01 1.406399382478771554e-01
2.063227330517178260e+01 1.068787246713105077e+01 1.325145909730668092e-01
2.433628737674334630e+01 8.249664037148637163e+00 1.321384012803022701e-01
2.870430946349900125e+01 6.236425891083245965e+00 1.203556835604456809e-01
3.385727207250659632e+01 4.443670655641728473e+00 1.049856594907526558e-01
3.993514561733919521e+01 3.125599361762037898e+00 9.679468952865268039e-02
4.710363692963485960e+01 2.048059198328124886e+00 8.331526362747987413e-02
5.555904162709039440e+01 1.337616432178603043e+00 6.605828971721289244e-02
